线段序号,起始笔位置,终点边界位置,确认方式,确认发生笔位置,主分型方向,主分型类型,主分型时间,主分型价格,主分型有缺口,初始缺口端点位置,初始缺口端点时间,初始缺口端点价格,最终线段端点位置,最终线段端点时间,最终线段端点价格,端点发生迁移,主分型真实突破,主分型突破状态,主分型三元素,反向分型时间,反向分型类型,反向分型三元素
0,2,5,NO_GAP,9,向上,顶分型,2019-10-17 16:00:00+00:00,8124.92,False,,,,5,2019-10-17 16:00:00+00:00,8124.92,False,True,已确认,"3 / 5,7 / 9",,,
1,5,14,NO_GAP,18,向下,底分型,2019-10-23 16:00:00+00:00,7300.0,False,,,,14,2019-10-23 16:00:00+00:00,7300.0,False,True,已确认,"8 / 10,12,14 / 16",,,
2,14,19,NO_GAP,21,向上,顶分型,2019-10-28 01:00:00+00:00,9902.1,False,,,,19,2019-10-28 01:00:00+00:00,9902.1,False,True,已确认,17 / 19 / 21,,,
