序号,一致,本项目方向,参考方向,本项目起点,参考起点,本项目终点,参考终点,本项目笔数,参考笔数
0,True,向下,向下,2019-10-15 00:00:00+00:00,2019-10-15 00:00:00+00:00,2019-10-18 08:00:00+00:00,2019-10-18 08:00:00+00:00,5,5
1,True,向上,向上,2019-10-18 08:00:00+00:00,2019-10-18 08:00:00+00:00,2019-10-21 15:00:00+00:00,2019-10-21 15:00:00+00:00,5,5
2,True,向下,向下,2019-10-21 15:00:00+00:00,2019-10-21 15:00:00+00:00,2019-10-23 16:00:00+00:00,2019-10-23 16:00:00+00:00,3,3
3,True,向上,向上,2019-10-23 16:00:00+00:00,2019-10-23 16:00:00+00:00,2019-10-28 01:00:00+00:00,2019-10-28 01:00:00+00:00,5,5
