序号,笔序号,方向,起点时间,起点价格,终点时间,终点价格
0,19,↓ 向下,2019-10-28 01:00:00+00:00,9902.1,2019-10-28 23:00:00+00:00,9160.0
1,20,↑ 向上,2019-10-28 23:00:00+00:00,9160.0,2019-10-29 05:00:00+00:00,9550.0
2,21,↓ 向下,2019-10-29 05:00:00+00:00,9550.0,2019-10-30 15:00:00+00:00,9001.01
3,22,↑ 向上,2019-10-30 15:00:00+00:00,9001.01,2019-10-30 22:00:00+00:00,9225.0
4,23,↓ 向下,2019-10-30 22:00:00+00:00,9225.0,2019-10-31 02:00:00+00:00,9051.01
5,24,↑ 向上,2019-10-31 02:00:00+00:00,9051.01,2019-10-31 06:00:00+00:00,9209.0
6,25,↓ 向下,2019-10-31 06:00:00+00:00,9209.0,2019-10-31 10:00:00+00:00,8913.0
