类型,序号,一致,本项目位置,参考位置,本项目线段序号,参考线段序号,本项目起点,参考起点,本项目终点,参考终点,本项目线段数,参考线段数,本项目ZG,参考ZG,本项目ZD,参考ZD,本项目ZZ,参考ZZ,本项目GG,参考GG,本项目DD,参考DD,本项目有效,参考有效
三段候选,0,True,0~2,0~2,0 | 1 | 2,0 | 1 | 2,2019-10-15 00:00:00+00:00,2019-10-15 00:00:00+00:00,2019-10-23 16:00:00+00:00,2019-10-23 16:00:00+00:00,3,3,8333.0,8333.0,7816.01,7816.01,8074.505,8074.505,8403.0,8403.0,7300.0,7300.0,True,True
三段候选,1,True,1~3,1~3,1 | 2 | 3,1 | 2 | 3,2019-10-18 08:00:00+00:00,2019-10-18 08:00:00+00:00,2019-10-28 01:00:00+00:00,2019-10-28 01:00:00+00:00,3,3,8333.0,8333.0,7816.01,7816.01,8074.505,8074.505,9902.1,9902.1,7300.0,7300.0,True,True
