中枢序号,分组序号,起点时间,终点时间,首笔方向,末笔方向,内部笔数,ZG上沿,ZD下沿,ZZ中轴,GG最高,DD最低,有效,原始K起点,原始K终点,内部笔序号
0,1,2019-10-16 16:00:00+00:00,2019-10-26 01:00:00+00:00,向上,向上,13,8023.0,7929.03,7976.014999999999,10370.0,7300.0,True,2019-10-16 11:00:00+00:00,2019-10-26 03:00:00+00:00,2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14
1,2,2019-10-26 01:00:00+00:00,2019-10-31 10:00:00+00:00,向下,向下,11,9369.8,9074.34,9222.07,10370.0,8855.5,True,2019-10-25 22:00:00+00:00,2019-10-31 11:00:00+00:00,15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25
