类型,序号,一致,本项目分组序号,CZSC分组序号,本项目起点,CZSC起点,本项目终点,CZSC终点,本项目笔序号,CZSC笔序号,本项目笔数,CZSC笔数,本项目ZG,CZSC ZG,本项目ZD,CZSC ZD,本项目ZZ,CZSC ZZ,本项目GG,CZSC GG,本项目DD,CZSC DD,本项目有效,CZSC有效
分组,0,True,0,0,2019-10-14 16:00:00+00:00,2019-10-14 16:00:00+00:00,2019-10-16 16:00:00+00:00,2019-10-16 16:00:00+00:00,0 | 1,0 | 1,2,2,8403.0,8403.0,8203.0,8203.0,8303.0,8303.0,8403.0,8403.0,7917.0,7917.0,False,False
分组,1,True,1,1,2019-10-16 16:00:00+00:00,2019-10-16 16:00:00+00:00,2019-10-26 01:00:00+00:00,2019-10-26 01:00:00+00:00,2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14,2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14,13,13,8023.0,8023.0,7929.03,7929.03,7976.014999999999,7976.014999999999,10370.0,10370.0,7300.0,7300.0,True,True
分组,2,True,2,2,2019-10-26 01:00:00+00:00,2019-10-26 01:00:00+00:00,2019-10-31 10:00:00+00:00,2019-10-31 10:00:00+00:00,15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25,15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25,11,11,9369.8,9369.8,9074.34,9074.34,9222.07,9222.07,10370.0,10370.0,8855.5,8855.5,True,True
