event,stroke_position,detected_at_position,endpoint_time,endpoint_price,confirmation
gap_origin,308.0,310.0,2026-01-16 09:20:00+00:00,111.3977234276886,
endpoint_replaced,,,2026-01-16 13:35:00+00:00,,有缺口候选等待确认期间，线段端点由第 308 笔 111.397723428 迁移到第 312 笔 111.888747104；旧反向序列作废，并从新极值端点重新开始
endpoint_replaced,,,2026-01-16 17:50:00+00:00,,有缺口候选等待确认期间，线段端点由第 312 笔 111.888747104 迁移到第 314 笔 112.577406944；旧反向序列作废，并从新极值端点重新开始
endpoint_replaced,,,2026-01-16 22:10:00+00:00,,有缺口候选等待确认期间，线段端点由第 314 笔 112.577406944 迁移到第 318 笔 113.110649167；旧反向序列作废，并从新极值端点重新开始
final_confirmation,318.0,324.0,2026-01-16 22:10:00+00:00,113.11064916663504,NO_GAP
